Diffct,Easy
27.65238,20.58744
25.11358,15.93682
24.77719,19.79222
24.64809,19.14227
27.3404,18.28764
33.59944,18.62743
28.4972,17.26018
26.39957,16.14603
24.66559,15.56423
25.17749,17.09997
19.99482,19.83799
19.70237,17.99495
