Diffct,Easy
10.484097,9.5750064
10.6267,9.1471989
11.678393,8.5589636
10.6267,8.0242043
10.412796,9.9136873
9.556,6.65
11.35,11.034
12.65,10.35
13.322,7.65
10.355,8.66
10.026,9.125
10.756,8.055
