Diffct,Easy
8.3807105,6.6142221
7.7568246,6.2220652
8.3985358,8.3450599
7.721174,6.8441686
6.6873059,7.2933665
9.132,6.615
8.655,5.325
7.98,4.65
9.985,5.655
7.658,6.655
8.068,6.12
7.455,6.988
