Diffct,Easy
7.9172524,2.6409601
8.1133308,2.7657373
8.0242043,2.5518335
7.9707283,2.4983576
8.0955055,2.7657373
6.65,3.1354
8.655,2.165
9.6564,1.6556
8.658,3.655
5.6456,4.15564
4.655,2.3336
7.123,5.654
