Super Class,Count,Percent
Alkaloids and Derivatives,56,0.78%
Benzenoids,560,7.76%
Lipids and Lipid-Like Molecules,2828,39.19%
"Nucleosides, Nucleotides, and Analogues",116,1.61%
Organic Acids and Derivatives,1596,22.11%
Organic Nitrogen Compounds,116,1.61%
Organic Oxygen Compounds,487,6.75%
Organoheterocyclic Compounds,1052,14.58%
Phenylpropanoids and Polyketides,292,4.05%
Others,114,1.58%
