Ctrl,OM,OM+BA
68649674.42,406291795.2,145371251
99251912.47,446192483.8,153983210.1
91115313.77,441517195,149636852
60616136.94,333347865.2,203731311
87572143.65,364928655.2,152447498.3
84327659.15,436643378,156420857.4
65855432.99,207688400.3,194723110.8
53699473.87,182496323.3,173365796.8
78959977.08,309371894.3,216127075.9
69995523.25,230742377.8,162343094
71746072.51,196420121.7,185342300.7
56382986.43,206273672,160278796.2
