Ctrl,OM,OM+BA
40.52,79.46,48.88
35.38,82.26,47.79
37.42,78.65,54.56
37.48,76.52,53.22
36.94,78.44,49.68
41.15,82.83,54.48
36.75,78.37,53.19
38.48,82.6,48.35
41.39,79.22,54.27
