Ctrl,OM,OM+BA
120950061,17093595.74,68649674.42
121696945.2,15176989.53,42574474.72
91644909.49,33567305.35,37807138.82
67929950.35,17166403.84,57503674.96
127396686.8,14624456.58,69230561.63
114496412.2,15289904.12,48689213.04
119441804.3,18751281.79,52486988.61
98986093.03,13510317.43,39379394.39
75219144.46,16283673.33,34485129.67
47287942.38,10798916.66,66111602.49
60282075.4,14105709.64,89765703.55
59244672.51,16831460.49,80495377.12
