Diffct,Easy
10.036,16.966
7.326,14.934
8.222,14.474
11.678,10.036
8.137,8.522
7.401,10.205
5.293,7.923
9.571,15.558
6.829,12.013
7.77,8.938
12.65,12.65
8.98,13.65
