,WT,,,K194R,,,K215R,,,K263R,,
Runx2,0.79,0.89,0.85,0.65,0.61,0.75,0.74,0.81,0.68,0.51,0.45,0.35
BMP2,0.81,0.88,0.81,0.7,0.79,0.71,0.71,0.65,0.71,0.45,0.35,0.37
